UCI ProTeams (2017–2023)
 Alpecin - Fenix
 Androni - Sidermec - Bottecchia
 Androni Giocattoli - Sidermec
 Aqua Blue Sport
 B&B Hotels - KTM
 B&B Hotels - Vital Concept p/b KTM
 B&B Hotels p/b KTM
 Bardiani - CSF
 Bardiani-CSF-Faizanè
 Bingoal - Wallonie Bruxelles
 Bingoal Pauwels Sauces WB
 Bolton Equities Black Spoke
 Burgos - BH
 CCC Sprandi Polkowice
 Caja Rural - Seguros RGA
 Circus - Wanty Gobert
 Corendon - Circus
 DELKO
 Delko Marseille Provence
 Delko Marseille Provence KTM
 Direct Energie
 Drone Hopper - Androni Giocattoli
 EOLO-Kometa
 Equipo Kern Pharma
 Euskadi - Murias
 Euskadi Basque Country - Murias
 Euskaltel - Euskadi
 Fortuneo - Oscaro
 Gazprom - RusVelo
 Gazprom-RusVelo
 Green Project - Bardiani CSF - Faizanè
 Hagens Berman Axeon
 Holowesko - Citadel p/b Arapahoe Resources
 Human Powered Health
 Israel - Premier Tech
 Israel Cycling Academy
 Lotto Dstny
 Manzana Postobon
 NIPPO DELKO One Provence
 Neri Sottoli - Selle Italia - KTM
 Nippo - Vini Fantini
 Nippo - Vini Fantini - Europa Ovini
 Nippo Vini Fantini Faizanè
 Q36.5 Pro Cycling Team
 Rally Cycling
 Rally UHC Cycling
 Riwal Readynez Cycling Team
 Riwal Securitas Cycling Team
 Roompot - Charles
 Roompot - Nederlandse Loterij
 Solutions Crédits
 Soul Brasil Pro Cycling Team
 Sport Vlaanderen - Baloise
 Team Arkéa Samsic
 Team Corratec - Selle Italia
 Team Flanders - Baloise
 Team Fortuneo - Samsic
 Team Novo Nordisk
 Team Total Direct Energie
 TotalEnergies
 Tudor Pro Cycling Team
 UnitedHealthcare Pro Cycling Team
 Uno-X Pro Cycling Team
 Vini Zabù
 Vini Zabù - KTM
 Vital Concept - B&B Hotels
 Vital Concept Cycling Club
 Vérandas Willems-Crelan
 W52 / FC Porto
 WB Aqua Protect Veranclassic
 WB Veranclassic Aqua Protect
 Wallonie-Bruxelles
 Wanty - Gobert Cycling Team
 Wanty - Groupe Gobert
 Wilier Triestina - Selle Italia
Alpecin - Deceuninck
Androni Giocattoli - Sidermec
Bingoal WB
