UCI WorldTeams (2017–2023)
 AG2R Citroën Team
 AG2R La Mondiale
 Alpecin - Deceuninck
 Astana - Premier Tech
 Astana Pro Team
 Astana Qazaqstan Team
 BMC Racing Team
 BORA - hansgrohe
 Bahrain - McLaren
 Bahrain - Victorious
 Bahrain Merida
 Bahrain Merida Pro Cycling Team
 CCC Team
 Cannondale - Drapac Pro Cycling Team
 Cofidis
 Deceuninck - Quick Step
 EF Education - EasyPost
 EF Education - Nippo
 EF Education First
 EF Pro Cycling
 FDJ
 Groupama - FDJ
 INEOS Grenadiers
 Intermarché - Circus - Wanty
 Intermarché - Wanty - Gobert Matériaux
 Israel - Premier Tech
 Israel Start-Up Nation
 Jumbo-Visma
 Lidl - Trek
 Lotto Soudal
 Mitchelton-Scott
 Movistar Team
 NTT Pro Cycling
 ORICA-Scott
 Quick-Step Alpha Vinyl Team
 Quick-Step Floors
 Soudal Quick-Step
 Team Arkéa Samsic
 Team BikeExchange
 Team BikeExchange - Jayco
 Team DSM
 Team Dimension Data
 Team EF Education First - Drapac p/b Cannondale
 Team INEOS
 Team Jayco AlUla
 Team Jumbo-Visma
 Team Katusha Alpecin
 Team LottoNL-Jumbo
 Team Qhubeka NextHash
 Team Sky
 Team Sunweb
 Team dsm - firmenich
 Trek - Segafredo
 UAE Team Emirates
AG2R Citroën Team
AG2R La Mondiale
